"No.","Time","Source","Destination","Protocol","Length","Info"
"64","11.103402","192.168.1.5","116.119.62.140","TCP","54","[TCP Dup ACK 17#1] 51396  >  443 [ACK] Seq=1 Ack=1 Win=14650 Len=0"
"65","11.109087","116.119.62.140","192.168.1.5","TCP","66","[TCP Dup ACK 18#1] [TCP ACKed unseen segment] 443  >  51396 [ACK] Seq=1 Ack=2 Win=608 Len=0 TSval=3678518452 TSecr=220242975"
"66","12.414188","192.168.1.5","69.171.250.60","TLSv1.2","194","Application Data"
"67","12.426966","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=2928 Ack=549 Win=523 Len=0 TSval=1123299635 TSecr=867661475"
"68","12.749844","192.168.1.5","125.22.47.125","DNS","85","Standard query 0x7138 A getpocket.cdn.mozilla.net"
"69","12.750964","95.217.173.128","192.168.1.5","TLSv1.2","103","Application Data"
"70","12.751060","192.168.1.5","95.217.173.128","TCP","66","51125  >  443 [ACK] Seq=1 Ack=38 Win=2047 Len=0 TSval=3826831949 TSecr=2477621210"
"71","12.757428","125.22.47.125","192.168.1.5","DNS","188","Standard query response 0x7138 A getpocket.cdn.mozilla.net CNAME getpocket-cdn.prod.mozaws.net CNAME prod.pocket.prod.cloudops.mozgcp.net A 34.120.5.221"
"72","12.759999","192.168.1.5","34.120.5.221","TCP","78","51435  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=90065918 TSecr=0 SACK_PERM=1"
"73","12.772061","34.120.5.221","192.168.1.5","TCP","74","443  >  51435 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=1793985861 TSecr=90065918 WS=256"
"74","12.772188","192.168.1.5","34.120.5.221","TCP","66","51435  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=90065930 TSecr=1793985861"
"75","12.776915","192.168.1.5","34.120.5.221","TLSv1.3","715","Client Hello"
"76","12.793082","34.120.5.221","192.168.1.5","TCP","66","443  >  51435 [ACK] Seq=1 Ack=650 Win=67072 Len=0 TSval=1793985880 TSecr=90065934"
"77","12.831891","34.120.5.221","192.168.1.5","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"78","12.831989","192.168.1.5","34.120.5.221","TCP","66","51435  >  443 [ACK] Seq=650 Ack=213 Win=131648 Len=0 TSval=90065988 TSecr=1793985913"
"79","12.834576","192.168.1.5","34.120.5.221","TLSv1.3","130","Change Cipher Spec, Application Data"
"80","12.838034","192.168.1.5","34.120.5.221","TLSv1.3","236","Application Data"
"81","12.838035","192.168.1.5","34.120.5.221","TLSv1.3","329","Application Data"
"82","12.858211","34.120.5.221","192.168.1.5","TLSv1.3","646","Application Data, Application Data"
"83","12.858217","34.120.5.221","192.168.1.5","TLSv1.3","97","Application Data"
"84","12.858325","192.168.1.5","34.120.5.221","TCP","66","51435  >  443 [ACK] Seq=1147 Ack=824 Win=131008 Len=0 TSval=90066013 TSecr=1793985947"
"85","12.858874","192.168.1.5","34.120.5.221","TLSv1.3","97","Application Data"
"86","12.859719","34.120.5.221","192.168.1.5","TLSv1.3","514","Application Data"
"87","12.859830","192.168.1.5","34.120.5.221","TCP","66","51435  >  443 [ACK] Seq=1178 Ack=1272 Win=130624 Len=0 TSval=90066014 TSecr=1793985948"
"88","12.860115","34.120.5.221","192.168.1.5","TLSv1.3","1484","Application Data"
"89","12.860121","34.120.5.221","192.168.1.5","TLSv1.3","1484","Application Data"
"90","12.860179","34.120.5.221","192.168.1.5","TLSv1.3","1484","Application Data"
"91","12.860195","192.168.1.5","34.120.5.221","TCP","66","51435  >  443 [ACK] Seq=1178 Ack=4108 Win=127744 Len=0 TSval=90066014 TSecr=1793985948"
"92","12.860251","192.168.1.5","34.120.5.221","TCP","66","51435  >  443 [ACK] Seq=1178 Ack=5526 Win=126784 Len=0 TSval=90066014 TSecr=1793985948"
"93","12.860740","192.168.1.5","34.120.5.221","TCP","66","[TCP Window Update] 51435  >  443 [ACK] Seq=1178 Ack=5526 Win=131072 Len=0 TSval=90066014 TSecr=1793985948"
"94","12.861326","34.120.5.221","192.168.1.5","TLSv1.3","105","[TCP Previous segment not captured] , Application Data"
"95","12.861414","192.168.1.5","34.120.5.221","TCP","78","[TCP Dup ACK 92#1] 51435  >  443 [ACK] Seq=1178 Ack=5526 Win=131072 Len=0 TSval=90066015 TSecr=1793985948 SLE=10666 SRE=10705"
"96","12.861664","34.120.5.221","192.168.1.5","TCP","1484","[TCP Out-Of-Order] 443  >  51435 [ACK] Seq=5526 Ack=1147 Win=69632 Len=1418 TSval=1793985948 TSecr=90065993"
"97","12.861670","34.120.5.221","192.168.1.5","TCP","1484","[TCP Out-Of-Order] 443  >  51435 [ACK] Seq=6944 Ack=1147 Win=69632 Len=1418 TSval=1793985948 TSecr=90065993"
"98","12.861827","34.120.5.221","192.168.1.5","TCP","1484","[TCP Out-Of-Order] 443  >  51435 [ACK] Seq=8362 Ack=1147 Win=69632 Len=1418 TSval=1793985948 TSecr=90065993"
"99","12.861831","34.120.5.221","192.168.1.5","TCP","952","[TCP Out-Of-Order] 443  >  51435 [PSH, ACK] Seq=9780 Ack=1147 Win=69632 Len=886 TSval=1793985948 TSecr=90065993"
"100","12.861890","192.168.1.5","34.120.5.221","TCP","78","51435  >  443 [ACK] Seq=1178 Ack=8362 Win=128192 Len=0 TSval=90066015 TSecr=1793985948 SLE=10666 SRE=10705"
"101","12.861890","192.168.1.5","34.120.5.221","TCP","66","51435  >  443 [ACK] Seq=1178 Ack=10705 Win=125888 Len=0 TSval=90066015 TSecr=1793985948"
"102","12.862283","192.168.1.5","34.120.5.221","TCP","66","[TCP Window Update] 51435  >  443 [ACK] Seq=1178 Ack=10705 Win=131072 Len=0 TSval=90066015 TSecr=1793985948"
"103","12.862304","192.168.1.5","34.120.5.221","TLSv1.3","105","Application Data"
"104","12.873418","34.120.5.221","192.168.1.5","TCP","66","443  >  51435 [ACK] Seq=10705 Ack=1178 Win=69632 Len=0 TSval=1793985962 TSecr=90066013"
"105","12.873907","69.171.250.60","192.168.1.5","TLSv1.2","201","Application Data"
"106","12.873994","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=549 Ack=3063 Win=2045 Len=0 TSval=867661926 TSecr=1123300084"
"107","12.880352","34.120.5.221","192.168.1.5","TCP","66","443  >  51435 [ACK] Seq=10705 Ack=1217 Win=69632 Len=0 TSval=1793985967 TSecr=90066015"
"108","13.020483","69.171.250.60","192.168.1.5","TLSv1.2","152","Application Data"
"109","13.020562","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=549 Ack=3149 Win=2046 Len=0 TSval=867662071 TSecr=1123300230"
"110","13.037101","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.4? Tell 192.168.1.1"
"111","13.116503","192.168.1.5","125.22.47.125","DNS","108","Standard query 0x5ce1 A dsx-4874e082a67cf82c.elb.us-west-2.amazonaws.com"
"112","13.117520","192.168.1.5","54.218.143.40","TCP","78","51436  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2926932960 TSecr=0 SACK_PERM=1"
"113","13.123683","125.22.47.125","192.168.1.5","DNS","261","Standard query response 0x5ce1 A dsx-4874e082a67cf82c.elb.us-west-2.amazonaws.com A 54.218.143.40 NS ns-1283.awsdns-32.org NS ns-1870.awsdns-41.co.uk NS ns-424.awsdns-53.com NS ns-748.awsdns-29.net"
"114","13.178675","69.171.250.60","192.168.1.5","TLSv1.2","201","Application Data"
"115","13.178750","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=549 Ack=3284 Win=2045 Len=0 TSval=867662227 TSecr=1123300388"
"116","13.353222","54.218.143.40","192.168.1.5","TCP","74","80  >  51436 [SYN, ACK] Seq=0 Ack=1 Win=62643 Len=0 MSS=1460 SACK_PERM=1 TSval=3832054274 TSecr=2926932960 WS=128"
"117","13.353309","192.168.1.5","54.218.143.40","TCP","66","51436  >  80 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2926933194 TSecr=3832054274"
"118","13.353834","192.168.1.5","54.218.143.40","TCP","329","51436  >  80 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=263 TSval=2926933194 TSecr=3832054274 [TCP segment of a reassembled PDU]"
"119","13.354690","192.168.1.5","54.218.143.40","HTTP/JSON","302","POST /dispatch/fetch?mid=ca1ce656b7813320168e9c4c422af7ce&cv=7&ct=ct-sys HTTP/1.1 , JavaScript Object Notation (application/json)"
"120","13.651575","54.218.143.40","192.168.1.5","TCP","66","80  >  51436 [ACK] Seq=1 Ack=264 Win=62464 Len=0 TSval=3832054511 TSecr=2926933194"
"121","13.651581","54.218.143.40","192.168.1.5","TCP","66","80  >  51436 [ACK] Seq=1 Ack=500 Win=62336 Len=0 TSval=3832054511 TSecr=2926933195"
"122","13.651582","54.218.143.40","192.168.1.5","HTTP","241","HTTP/1.1 211 UNKNOWN "
"123","13.651683","192.168.1.5","54.218.143.40","TCP","66","51436  >  80 [ACK] Seq=500 Ack=176 Win=131584 Len=0 TSval=2926933491 TSecr=3832054530"
"124","13.667033","192.168.1.5","54.218.143.40","TCP","66","51436  >  80 [FIN, ACK] Seq=500 Ack=176 Win=131584 Len=0 TSval=2926933506 TSecr=3832054530"
"125","13.762187","192.168.1.5","34.224.142.75","TLSv1.2","112","Application Data"
"126","13.902131","54.218.143.40","192.168.1.5","TCP","66","80  >  51436 [FIN, ACK] Seq=176 Ack=501 Win=62336 Len=0 TSval=3832054823 TSecr=2926933506"
"127","13.902262","192.168.1.5","54.218.143.40","TCP","66","51436  >  80 [ACK] Seq=501 Ack=177 Win=131584 Len=0 TSval=2926933740 TSecr=3832054823"
"128","13.975211","34.224.142.75","192.168.1.5","TCP","66","443  >  51428 [ACK] Seq=1 Ack=47 Win=118 Len=0 TSval=1185256593 TSecr=294138123"
"129","13.975215","34.224.142.75","192.168.1.5","TLSv1.2","112","Application Data"
"130","13.975303","192.168.1.5","34.224.142.75","TCP","66","51428  >  443 [ACK] Seq=47 Ack=47 Win=2047 Len=0 TSval=294138335 TSecr=1185256593"
"131","14.061121","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.4? Tell 192.168.1.1"
"132","14.664078","192.168.1.5","142.250.195.206","TLSv1.2","487","Application Data"
"133","14.664854","192.168.1.5","142.250.195.206","TCP","1484","51352  >  443 [ACK] Seq=5749 Ack=533 Win=2048 Len=1418 TSval=939055577 TSecr=3791850015 [TCP segment of a reassembled PDU]"
"134","14.664854","192.168.1.5","142.250.195.206","TLSv1.2","449","Application Data"
"135","14.676842","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=533 Ack=5749 Win=1330 Len=0 TSval=3791864590 TSecr=939055577"
"136","14.679830","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=533 Ack=7167 Win=1328 Len=0 TSval=3791864593 TSecr=939055577"
"137","14.679839","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=533 Ack=7550 Win=1330 Len=0 TSval=3791864593 TSecr=939055577"
"138","14.718940","142.250.195.206","192.168.1.5","TLSv1.2","468","Application Data"
"139","14.718947","142.250.195.206","192.168.1.5","TLSv1.2","198","Application Data, Application Data, Application Data"
"140","14.719061","192.168.1.5","142.250.195.206","TCP","66","51352  >  443 [ACK] Seq=7550 Ack=1067 Win=2039 Len=0 TSval=939055629 TSecr=3791864632"
"141","14.720276","192.168.1.5","142.250.195.206","TLSv1.2","105","Application Data"
"142","14.736211","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=1067 Ack=7589 Win=1331 Len=0 TSval=3791864650 TSecr=939055630"
"143","14.982866","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.4? Tell 192.168.1.1"
"144","15.647573","192.168.1.5","95.217.173.128","TLSv1.2","103","Application Data"
"145","15.718142","69.171.250.60","192.168.1.5","TLSv1.2","152","Application Data"
"146","15.718148","69.171.250.60","192.168.1.5","TLSv1.2","152","Application Data"
"147","15.718268","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=549 Ack=3456 Win=2045 Len=0 TSval=867664753 TSecr=1123302928"
"148","15.811836","95.217.173.128","192.168.1.5","TCP","66","443  >  51125 [ACK] Seq=38 Ack=38 Win=13332 Len=0 TSval=2477624291 TSecr=3826834823"
"149","16.006741","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"150","17.030801","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"151","18.054788","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"152","19.079379","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.2? Tell 192.168.1.1"
"153","19.080380","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.2? Tell 192.168.1.1"
"154","19.081380","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.3? Tell 192.168.1.1"
"155","19.082063","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.3? Tell 192.168.1.1"
"156","19.083615","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.5? Tell 192.168.1.1"
"157","19.083687","Apple_b4:68:f6","D-LinkIn_14:6e:4e","ARP","42","192.168.1.5 is at d0:81:7a:b4:68:f6"
"158","19.084487","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.5? Tell 192.168.1.1"
"159","19.084558","Apple_b4:68:f6","D-LinkIn_14:6e:4e","ARP","42","192.168.1.5 is at d0:81:7a:b4:68:f6"
"160","21.143003","192.168.1.5","116.119.62.140","TCP","54","[TCP Dup ACK 17#2] 51396  >  443 [ACK] Seq=1 Ack=1 Win=14650 Len=0"
"161","21.148994","116.119.62.140","192.168.1.5","TCP","66","[TCP Dup ACK 18#2] [TCP ACKed unseen segment] 443  >  51396 [ACK] Seq=1 Ack=2 Win=608 Len=0 TSval=3678528492 TSecr=220242975"
"162","21.617301","192.168.1.5","69.171.250.60","TLSv1.2","194","Application Data"
"163","21.618098","192.168.1.5","69.171.250.60","TLSv1.2","391","Application Data"
"164","21.628974","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=3456 Ack=677 Win=533 Len=0 TSval=1123308839 TSecr=867670644"
"165","21.629766","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=3456 Ack=1002 Win=544 Len=0 TSval=1123308840 TSecr=867670644"
"166","21.946661","69.171.250.60","192.168.1.5","TLSv1.2","111","Application Data"
"167","21.946799","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1002 Ack=3501 Win=2047 Len=0 TSval=867670971 TSecr=1123309091"
"168","22.458645","69.171.250.60","192.168.1.5","TLSv1.2","140","Application Data"
"169","22.458784","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1002 Ack=3575 Win=2046 Len=0 TSval=867671482 TSecr=1123309590"
"170","24.302530","69.171.250.60","192.168.1.5","TLSv1.2","220","Application Data"
"171","24.302537","69.171.250.60","192.168.1.5","TLSv1.2","201","Application Data"
"172","24.302661","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1002 Ack=3864 Win=2043 Len=0 TSval=867673324 TSecr=1123311473"
"173","24.791506","192.168.1.5","116.119.62.140","TLSv1.2","90","[TCP Previous segment not captured] , Application Data"
"174","24.791506","192.168.1.5","116.119.62.140","TCP","66","51396  >  443 [FIN, ACK] Seq=26 Ack=1 Win=14650 Len=0 TSval=220358255 TSecr=3678528492"
"175","24.798163","116.119.62.140","192.168.1.5","TCP","66","[TCP ACKed unseen segment] 443  >  51396 [ACK] Seq=1 Ack=26 Win=608 Len=0 TSval=3678532141 TSecr=220358255"
"176","24.798169","116.119.62.140","192.168.1.5","TCP","66","443  >  51396 [FIN, ACK] Seq=1 Ack=26 Win=608 Len=0 TSval=3678532141 TSecr=220358255"
"177","24.798366","116.119.62.140","192.168.1.5","TCP","66","443  >  51396 [ACK] Seq=2 Ack=27 Win=608 Len=0 TSval=3678532142 TSecr=220358255"
"178","24.798397","192.168.1.5","116.119.62.140","TCP","66","[TCP Retransmission] 51396  >  443 [FIN, ACK] Seq=26 Ack=2 Win=14650 Len=0 TSval=220358261 TSecr=3678532141"
"179","25.428323","108.174.11.37","192.168.1.5","TCP","114","443  >  51100 [ACK] Seq=93 Ack=1 Win=14 Len=48 TSval=2762644454 TSecr=611655665 [TCP segment of a reassembled PDU]"
"180","25.428330","108.174.11.37","192.168.1.5","TLSv1.2","110","Application Data"
"181","25.428454","192.168.1.5","108.174.11.37","TCP","66","51100  >  443 [ACK] Seq=1 Ack=185 Win=2046 Len=0 TSval=611670569 TSecr=2762644454"
"182","26.656716","69.171.250.60","192.168.1.5","TLSv1.2","152","Application Data"
"183","26.656863","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1002 Ack=3950 Win=2046 Len=0 TSval=867675674 TSecr=1123313817"
"184","27.522962","192.168.1.5","69.171.250.60","TLSv1.2","194","Application Data"
"185","27.541154","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=3950 Ack=1130 Win=555 Len=0 TSval=1123314747 TSecr=867676539"
"186","28.500799","69.171.250.60","192.168.1.5","TLSv1.2","379","Application Data"
"187","28.500912","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1130 Ack=4263 Win=2043 Len=0 TSval=867677513 TSecr=1123315610"
"188","28.599312","192.168.1.5","69.171.250.60","TLSv1.2","237","Application Data"
"189","28.633843","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=4263 Ack=1301 Win=566 Len=0 TSval=1123315823 TSecr=867677611"
"190","28.909475","69.171.250.60","192.168.1.5","TLSv1.2","101","Application Data"
"191","28.909599","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1301 Ack=4298 Win=2047 Len=0 TSval=867677919 TSecr=1123316074"
"192","29.421649","69.171.250.60","192.168.1.5","TLSv1.2","115","Application Data"
"193","29.421765","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1301 Ack=4347 Win=2047 Len=0 TSval=867678431 TSecr=1123316536"
"194","29.523352","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.4? Tell 192.168.1.1"
"195","29.831098","69.171.250.60","192.168.1.5","TLSv1.2","152","Application Data"
"196","29.831236","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1301 Ack=4433 Win=2046 Len=0 TSval=867678840 TSecr=1123316988"
"197","30.547239","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.4? Tell 192.168.1.1"
"198","31.571211","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.4? Tell 192.168.1.1"
"199","32.493508","192.168.1.1","224.0.0.1","IGMPv3","50","Membership Query, general"
"200","32.583912","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"201","32.607722","69.171.250.60","192.168.1.5","TLSv1.2","201","Application Data"
